address,business_hours,closed_days,course_description,course_list,course_price,course_target,course_time,facility,initation,initation_fee,option,option_description,option_fee,parking_lot,store_name,store_url,tel
"〒252-0131神奈川県相模原市緑区西橋本5-4-3 ホームセンターコーナン相模原西橋本店2階,												TEL　042-775-7090",［月～土］10:00～22:00［日／祝］10:00～18:00,毎週木曜日（他、お盆・年末年始）,"回数など気にせず営業時間内いつでも自由にご利用いただけます。,ヨガ等のスクール（1レッスン60分）を月3回受講いただけます。,（クラス内容は店舗によって異なります。）","正会員,スクール会員","2,700円（税抜）,2,700円（税抜）","15歳以上,女性限定、15歳以上","全営業時間,受講クラスをお選びいただきます。","ジム,レンタルスタジオ,パーソナルスタジオ,更衣スペース,駐車場,駐輪場,AED",登録手数料,"5,000円（税抜）","べネプラス,契約ロッカー,オンライン,プラス","施設内で万一怪我をされた場合、通院・入院の費用をお支払いする,「お見舞金制度（保険契約）」とレジャー、グルメ、ショッピングなどの,「割引サービス」を受けることができます。,貴重品や小物、シューズ等を入れることができます。,（ご契約時に別途初期費用が必要です）,ご自宅で人気のヨガや脂肪燃焼系など週60本以上のレッスンが受けられます。,ライブ配信にてスタジオの臨場感をお楽しみいただけます。,※「専用予約サイト」と「Zoom」を利用します 。予約サイトへの事前登録とZoomアプリのインストールが必要です。, (ZoomアプリはApp StoreやGoogle Playからインストールできます。)","500円（税抜）,500円（税抜）,600円（税抜）",850台（無料）（共用）,アクトスWill_G 相模原西橋本,https://sc1.axtos.com/shop/sagamihara/,tel:042-775-7090
"〒241-0022　神奈川県横浜市旭区鶴ヶ峰1丁目7番10号 鶴ヶ峰大京ビル3階,												TEL　045-369-7051",［平日・土］10:00～22:00［日／祝］10:00～18:00,毎週木曜日（他、お盆・年末年始）,回数など気にせず営業時間内いつでも自由にご利用いただけます。,正会員,"2,700円（税抜）",15歳以上,全営業時間,"ジム,更衣スペース,駐車場,駐輪場,AED",登録手数料,"5,000円（税抜）","べネプラス,契約ロッカー,オンライン,プラス","施設内で万一怪我をされた場合、通院・入院の費用をお支払いする,「お見舞金制度（保険契約）」とレジャー、グルメ、ショッピングなどの,「割引サービス」を受けることができます。,貴重品や小物、シューズ等を入れることができます。,（ご契約時に別途初期費用が必要です）,ご自宅で人気のヨガや脂肪燃焼系など週60本以上のレッスンが受けられます。,ライブ配信にてスタジオの臨場感をお楽しみいただけます。,※「専用予約サイト」と「Zoom」を利用します 。予約サイトへの事前登録とZoomアプリのインストールが必要です。, (ZoomアプリはApp StoreやGoogle Playからインストールできます。)","500円（税抜）,500円（税抜）,600円（税抜）",有（最初の1時間無料）,アクトスWill_G 鶴ヶ峰,https://sc1.axtos.com/shop/tsurugamine/,tel:045-369-7051
"〒184-0012　東京都小金井市中町2-16-17鈴栄ビル 2F,												TEL　042-316-7100",［平日］10:00～22:00［土］10:00～21:00［日／祝］10:00～18:00,毎週木曜日（他、お盆・年末年始）,回数など気にせず営業時間内いつでも自由にご利用いただけます。,正会員,"2,700円（税抜）",15歳以上,全営業時間,"ジム,更衣スペース,水素水,駐車場,駐輪場,AED,キャッシュレス",登録手数料,"5,000円（税抜）","べネプラス,契約ロッカー,水素水,オンライン,プラス","施設内で万一怪我をされた場合、通院・入院の費用をお支払いする,「お見舞金制度（保険契約）」とレジャー、グルメ、ショッピングなどの,「割引サービス」を受けることができます。,貴重品や小物、シューズ等を入れることができます。,（ご契約時に別途初期費用が必要です）,専用カードと専用ボトルにて水素水が飲み放題となります。,※運動中の飲用やお持ち帰りなど、軽減税率（8％）の適用を想定したオプションです。,ご自宅で人気のヨガや脂肪燃焼系など週60本以上のレッスンが受けられます。,ライブ配信にてスタジオの臨場感をお楽しみいただけます。,※「専用予約サイト」と「Zoom」を利用します 。予約サイトへの事前登録とZoomアプリのインストールが必要です。, (ZoomアプリはApp StoreやGoogle Playからインストールできます。)","500円（税抜）,500円（税抜）,500円（税抜）,600円（税抜）",近隣コインパーキング利用可能（90分間無料）,アクトスWill_G 小金井中町,https://sc1.axtos.com/shop/koganeinakamachi/,tel:042-316-7100
"〒206-0033　東京都多摩市落合2丁目33 クロスガーデン多摩1階,												TEL　042-401-9980",［平日］10:00～22:00［土］10:00～21:00［日／祝］10:00～18:00,毎週木曜日（他、お盆・年末年始）,回数など気にせず営業時間内いつでも自由にご利用いただけます。,正会員,"2,700円（税抜）",15歳以上,全営業時間,"ジム,更衣スペース,水素水,駐車場,駐輪場,AED,キャッシュレス",登録手数料,"5,000円（税抜）","べネプラス,契約ロッカー,水素水,オンライン,プラス","施設内で万一怪我をされた場合、通院・入院の費用をお支払いする,「お見舞金制度（保険契約）」とレジャー、グルメ、ショッピングなどの,「割引サービス」を受けることができます。,貴重品や小物、シューズ等を入れることができます。,（ご契約時に別途初期費用が必要です）,専用カードと専用ボトルにて水素水が飲み放題となります。,※運動中の飲用やお持ち帰りなど、軽減税率（8％）の適用を想定したオプションです。,ご自宅で人気のヨガや脂肪燃焼系など週60本以上のレッスンが受けられます。,ライブ配信にてスタジオの臨場感をお楽しみいただけます。,※「専用予約サイト」と「Zoom」を利用します 。予約サイトへの事前登録とZoomアプリのインストールが必要です。, (ZoomアプリはApp StoreやGoogle Playからインストールできます。)","500円（税抜）,500円（税抜）,500円（税抜）,600円（税抜）",有（共用）,アクトスWill_G クロスガーデン多摩,https://sc1.axtos.com/shop/crossgarden_tama/,tel:042-401-9980
"〒208-0023　東京都武蔵村山市伊奈平3-36-1 ダイエー武蔵村山店1階,												TEL　042-520-4490",［平日］10:00～22:00［土］10:00～21:00［日／祝］10:00～18:00,毎週木曜日（他、お盆・年末年始）,回数など気にせず営業時間内いつでも自由にご利用いただけます。,正会員,"2,700円（税抜）",15歳以上,全営業時間,"ジム,更衣スペース,水素水,駐車場,駐輪場,AED",登録手数料,"5,000円（税抜）","べネプラス,契約ロッカー,水素水,オンライン,プラス","施設内で万一怪我をされた場合、通院・入院の費用をお支払いする,「お見舞金制度（保険契約）」とレジャー、グルメ、ショッピングなどの,「割引サービス」を受けることができます。,貴重品や小物、シューズ等を入れることができます。,（ご契約時に別途初期費用が必要です）,専用カードと専用ボトルにて水素水が飲み放題となります。,※運動中の飲用やお持ち帰りなど、軽減税率（8％）の適用を想定したオプションです。,ご自宅で人気のヨガや脂肪燃焼系など週60本以上のレッスンが受けられます。,ライブ配信にてスタジオの臨場感をお楽しみいただけます。,※「専用予約サイト」と「Zoom」を利用します 。予約サイトへの事前登録とZoomアプリのインストールが必要です。, (ZoomアプリはApp StoreやGoogle Playからインストールできます。)","500円（税抜）,500円（税抜）,500円（税抜）,600円（税抜）",851台（無料）有（共用）,アクトスWill_G ダイエー武蔵村山,https://sc1.axtos.com/shop/murayama/,tel:042-520-4490
"〒123-0851東京都足立区梅田6-9-16 ショッピングタウンカリブ梅島2階,												TEL　03-5845-3270",［平日］10:00～22:00［土］10:00～22:00［日／祝］10:00～18:00,毎週木曜日（他、お盆・年末年始）,回数など気にせず営業時間内いつでも自由にご利用いただけます。,正会員,"2,700円（税抜）キャッシュレス店舗となります。",15歳以上,全営業時間,"ジム,更衣スペース,水素水,駐車場,駐輪場,AED,キャッシュレス",登録手数料,"5,000円（税抜）","べネプラス,契約ロッカー,水素水,オンライン,プラス","施設内で万一怪我をされた場合、通院・入院の費用をお支払いする,「お見舞金制度（保険契約）」とレジャー、グルメ、ショッピングなどの,「割引サービス」を受けることができます。,貴重品や小物、シューズ等を入れることができます。,（ご契約時に別途初期費用が必要です）,専用カードと専用ボトルにて水素水が飲み放題となります。,※運動中の飲用やお持ち帰りなど、軽減税率（8％）の適用を想定したオプションです。,ご自宅で人気のヨガや脂肪燃焼系など週60本以上のレッスンが受けられます。,ライブ配信にてスタジオの臨場感をお楽しみいただけます。,※「専用予約サイト」と「Zoom」を利用します 。予約サイトへの事前登録とZoomアプリのインストールが必要です。, (ZoomアプリはApp StoreやGoogle Playからインストールできます。)","500円（税抜）,500円（税抜）,500円（税抜）,600円（税抜）",190台（2時間まで無料、以降10分ごと100円）,アクトスWill_G カリブ梅島,https://sc1.axtos.com/shop/umejima/,tel:03-5845-3270
"〒192-0033　東京都八王子市高倉町49番地3　コープみらい高倉テナント棟3階,												TEL　042-656-8277",［月～土］10:00～22:00［日／祝］10:00～18:00,毎週木曜日（他、お盆・年末年始）,回数など気にせず営業時間内いつでも自由にご利用いただけます。,正会員,"2,700円（税抜）",15歳以上,全営業時間,"ジム,更衣スペース,駐車場,駐輪場,AED",登録手数料,"5,000円（税抜）","べネプラス,契約ロッカー,オンライン,プラス","施設内で万一怪我をされた場合、通院・入院の費用をお支払いする,「お見舞金制度（保険契約）」とレジャー、グルメ、ショッピングなどの,「割引サービス」を受けることができます。,貴重品や小物、シューズ等を入れることができます。,（ご契約時に別途初期費用が必要です）,ご自宅で人気のヨガや脂肪燃焼系など週60本以上のレッスンが受けられます。,ライブ配信にてスタジオの臨場感をお楽しみいただけます。,※「専用予約サイト」と「Zoom」を利用します 。予約サイトへの事前登録とZoomアプリのインストールが必要です。, (ZoomアプリはApp StoreやGoogle Playからインストールできます。)","500円（税抜）,500円（税抜）,600円（税抜）",無料,アクトスWill_G 八王子,https://sc1.axtos.com/shop/hachioji/,tel:042-656-8277
"〒143-0016　東京都大田区大森北1-10-14 Luz大森3階,												TEL　03-5767-6591",［平日］10:00～22:00［土］10:00～21:00［日／祝］10:00～18:00,毎週木曜日（他、お盆・年末年始）,回数など気にせず営業時間内いつでも自由にご利用いただけます。,正会員,"2,700円（税抜）",15歳以上,全営業時間,"ジム,更衣スペース,水素水,駐車場,駐輪場,AED,キャッシュレス",登録手数料,"5,000円（税抜）","べネプラス,契約ロッカー,水素水,オンライン,プラス","施設内で万一怪我をされた場合、通院・入院の費用をお支払いする,「お見舞金制度（保険契約）」とレジャー、グルメ、ショッピングなどの,「割引サービス」を受けることができます。,貴重品や小物、シューズ等を入れることができます。,（ご契約時に別途初期費用が必要です）,専用カードと専用ボトルにて水素水が飲み放題となります。,※運動中の飲用やお持ち帰りなど、軽減税率（8％）の適用を想定したオプションです。,ご自宅で人気のヨガや脂肪燃焼系など週60本以上のレッスンが受けられます。,ライブ配信にてスタジオの臨場感をお楽しみいただけます。,※「専用予約サイト」と「Zoom」を利用します 。予約サイトへの事前登録とZoomアプリのインストールが必要です。, (ZoomアプリはApp StoreやGoogle Playからインストールできます。)","500円（税抜）,500円（税抜）▲契約ロッカーが1,000円のものもあります。,500円（税抜）,600円（税抜）",96台　200円/25分,アクトスWill_G Luz大森,https://sc1.axtos.com/shop/omori/,tel:03-5767-6591
"〒277-0827　千葉県柏市松葉町4丁目5番地 マルエツ北柏店2階,												TEL　04-7199-4895",［平日］10:00～22:00［土］10:00～21:00［日／祝］10:00～18:00,毎週木曜日（他、お盆・年末年始）,回数など気にせず営業時間内いつでも自由にご利用いただけます。,正会員,"2,700円（税抜）",15歳以上,全営業時間,"ジム,更衣スペース,水素水,駐車場,駐輪場,AED,キャッシュレス",登録手数料,"5,000円（税抜）","べネプラス,契約ロッカー,水素水,オンライン,プラス","施設内で万一怪我をされた場合、通院・入院の費用をお支払いする,「お見舞金制度（保険契約）」とレジャー、グルメ、ショッピングなどの,「割引サービス」を受けることができます。,貴重品や小物、シューズ等を入れることができます。,（ご契約時に別途初期費用が必要です）,専用カードと専用ボトルにて水素水が飲み放題となります。,※運動中の飲用やお持ち帰りなど、軽減税率（8％）の適用を想定したオプションです。,ご自宅で人気のヨガや脂肪燃焼系など週60本以上のレッスンが受けられます。,ライブ配信にてスタジオの臨場感をお楽しみいただけます。,※「専用予約サイト」と「Zoom」を利用します 。予約サイトへの事前登録とZoomアプリのインストールが必要です。, (ZoomアプリはApp StoreやGoogle Playからインストールできます。)","500円（税抜）,500円（税抜）,500円（税抜）,600円（税抜）",有（共用）,アクトスWill_G マルエツ北柏,https://sc1.axtos.com/shop/maruetsu_kitakashiwa/,tel:04-7199-4895
"〒260-0801　千葉県千葉市中央区仁戸名町720-34,												TEL　043-310-5586",［平日］10:00～22:00［土］10:00～21:00［日／祝］10:00～18:00,毎週木曜日（他、お盆・年末年始）,回数など気にせず営業時間内いつでも自由にご利用いただけます。,正会員,"2,700円（税抜）",15歳以上,全営業時間,"ジム,更衣スペース,水素水,駐車場,駐輪場,AED,キャッシュレス",登録手数料,"5,000円（税抜）","べネプラス,契約ロッカー,水素水,オンライン,プラス","施設内で万一怪我をされた場合、通院・入院の費用をお支払いする,「お見舞金制度（保険契約）」とレジャー、グルメ、ショッピングなどの,「割引サービス」を受けることができます。,貴重品や小物、シューズ等を入れることができます。,（ご契約時に別途初期費用が必要です）,専用カードと専用ボトルにて水素水が飲み放題となります。,※運動中の飲用やお持ち帰りなど、軽減税率（8％）の適用を想定したオプションです。,ご自宅で人気のヨガや脂肪燃焼系など週60本以上のレッスンが受けられます。,ライブ配信にてスタジオの臨場感をお楽しみいただけます。,※「専用予約サイト」と「Zoom」を利用します 。予約サイトへの事前登録とZoomアプリのインストールが必要です。, (ZoomアプリはApp StoreやGoogle Playからインストールできます。)","500円（税抜）,500円（税抜）,500円（税抜）,600円（税抜）",有（共用）,アクトスWill_G 仁戸名,https://sc1.axtos.com/shop/nitona/,tel:043-310-5586
